sqft,homeType,beds,parkingSpots,lotSize,baths,listPrice,heating_system,cooling_system,view_type,architecture_style,yearBuilt,has_pool,city,address,tax
1100.0,Single Family Residential,3,,3781.0,2,235000,Forced Air (Natural Gas),Central A/C,,Other,1955.0,,Chicago,3932 West 84th Street,2642.29
2200.0,Single Family Residential,4,2.0,4234.0,3,260000,Forced Air (Natural Gas),Central A/C,,Bungalow,1915.0,,Chicago,1119 North Lockwood Avenue,2938.45
750.0,Condo/Coop,2,,,1,275000,Forced Air (Natural Gas),Central A/C,,Other,1926.0,,Chicago,1100 North Paulina Street #1M,4722.0
1248.0,Single Family Residential,3,2.0,5279.0,2,309900,,Central A/C,,Ranch,1962.0,,Chicago,4909 North Normandy Avenue,560.03
1337.0,Single Family Residential,3,2.0,,2,324900,Forced Air (Natural Gas),Central A/C,,Georgian,1949.0,,Chicago,10034 South Artesian Avenue,77.4
2330.0,Single Family Residential,4,2.0,6142.0,3,350000,Fireplace (Natural Gas),None,,Other,1932.0,,Chicago,10625 South Hamilton Avenue,6592.0
1000.0,Condo/Coop,2,1.0,,2,249900,Fireplace (Natural Gas),Central A/C,,Other,2005.0,,Chicago,516 South Denvir Avenue #3,3385.75
1610.0,Single Family Residential,3,2.0,3790.0,2,336900,Baseboard (Natural Gas),Central A/C,,Georgian,1944.0,,Chicago,1855 North Normandy Avenue,3935.78
1498.0,Single Family Residential,3,1.0,3341.0,2,229900,,Central A/C,,Other,1915.0,,Chicago,2050 East 83rd Street,1433.33
1434.0,Single Family Residential,3,,3528.0,2,309900,Forced Air (Natural Gas),Central A/C,,Bungalow,1917.0,,Chicago,6218 West Cuyler Avenue,4111.56
1200.0,Single Family Residential,3,2.0,3720.0,2,349900,,Central A/C,,Cape Cod,1954.0,,Chicago,3705 North Pioneer Avenue,2712.41
1450.0,Condo/Coop,2,1.0,,2,250000,Forced Air (Natural Gas),Central A/C,,Other,2006.0,,Chicago,2353 West Harrison Street #3,4213.0
1800.0,Single Family Residential,3,2.0,3528.0,2,375900,,Central A/C,,Georgian,1953.0,,Chicago,6520 North Troy Street,4120.84
