isShortSale,source,yearBuilt,nextOpenHouseEndTime,sqft,lastSaleDate,id,state,county,longitude,zip,tax,mls_id,daysOnMarket,homeType,property_type,property_sub_type,beds,num_of_units,favorite,city,saleType,latitude,nextOpenHouseDate,recentReductionDate,title,rent_appreciation_rate,originalListPrice,parkingSpots,parkingType,address,nextOpenHouseStartTime,lotSize,url,baths,address_revealing,location,interested,listPrice,price_per_sqft,lastSalePrice,is_foreclosure,foreclosure_status,occupancy_status,owner_occupied,heating_system,cooling_system,walkscore,investment_likelihood_label,investment_likelihood_score,investment_likelihood_stars,hoa_dues,view_type,parcel_number,architecture_style,has_pool,is_water_front,needs_repair,tenant_occupied,is_market_place,schools
,Chicagoland Brokers Inc.,1955,,1100,,2521392,IL,Cook County,-87.72048187,60652,2642.29,11187973,14,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.7406311,,,"1 Story - Chicago, IL",,,,,3932 West 84th Street,,3781,https://listings.listhub.net/pages/MREDIL/11187973/?channel=mashv,2,TRUE,Parkview,,235000,213.6363636,,0,,,FALSE,Forced Air (Natural Gas),Central A/C,,1,100,,,,1.93531E+13,Other,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,RE/MAX Cityview,1915,2:00 PM,2200,,926771,IL,Cook County,-87.75789642,60651,2938.45,11181054,20,Single Family Residential,Residential,Single Family Detached,4,,,Chicago,MLS Listing,41.90100098,10-07-21,,"2 Stories, Bungalow - Chicago, IL",,,2,Garage,1119 North Lockwood Avenue,12:00 PM,4234,https://listings.listhub.net/pages/MREDIL/11181054/?channel=mashv,3,TRUE,North Austin,,260000,118.1818182,,0,,,FALSE,Forced Air (Natural Gas),Central A/C,,1,100,,,,1.60431E+13,Bungalow,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Redfin Corporation,1926,,750,,2440878,IL,Cook County,-87.67009735,60622,4722,11163239,36,Condo/Coop,Residential,Condominium,2,,,Chicago,MLS Listing,41.90233994,,,"Condo - Chicago, IL",,,,,1100 North Paulina Street #1M,,,https://listings.listhub.net/pages/MREDIL/11163239/?channel=mashv,1,TRUE,East Ukrainian Village,,275000,366.6666667,,0,,,FALSE,Forced Air (Natural Gas),Central A/C,,1,100,,108,,1.70641E+13,Other,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Zerillo Realty Inc.,1962,2:00 PM,1248,,2506515,IL,Cook County,-87.79355621,60656,560.03,11192061,9,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.97047043,14-08-21,,"1 Story, Step Ranch - Chicago, IL",,,2,Garage,4909 North Normandy Avenue,12:00 PM,5279,https://listings.listhub.net/pages/MREDIL/11192061/?channel=mashv,2,TRUE,Big Oaks,,309900,248.3173077,,0,,,FALSE,,Central A/C,,1,100,,,,1.30743E+13,Ranch,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Baird & Warner,1949,3:00 PM,1337,,2496968,IL,Cook County,-87.68331146,60655,77.4,11146489,27,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.71083832,31-07-21,,"2 Stories, Georgian - Chicago, IL",,,2,Garage,10034 South Artesian Avenue,1:00 PM,,https://listings.listhub.net/pages/MREDIL/11146489/?channel=mashv,2,TRUE,West Beverly,,324900,243.0067315,,0,,,FALSE,Forced Air (Natural Gas),Central A/C,,1,100,,,,2.41242E+13,Georgian,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,"Molloy & Associates,Inc.",1932,,2330,,2467499,IL,Cook County,-87.6750412,60643,6592,11152405,46,Single Family Residential,Residential,Single Family Detached,4,,,Chicago,MLS Listing,41.70019913,,,"1.5 Story - Chicago, IL",,,2,Garage,10625 South Hamilton Avenue,,6142,https://listings.listhub.net/pages/MREDIL/11152405/?channel=mashv,3,TRUE,East Beverly,,350000,150.2145923,,0,,,FALSE,Fireplace (Natural Gas),None,,1,100,,,,2.51813E+13,Other,,,0,0,0,"[{'category': 'Elementary', 'name': 'Sutherland Elementary School', 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Redfin Corporation,2005,1:00 PM,1000,,2495072,IL,Cook County,-87.68994141,60612,3385.75,11166513,28,Condo/Coop,Residential,Condominium,2,,,Chicago,MLS Listing,41.87437057,31-07-21,,"Condo,Low Rise (1-3 Stories) - Chicago, IL",,,1,Garage,516 South Denvir Avenue #3,11:00 AM,,https://listings.listhub.net/pages/MREDIL/11166513/?channel=mashv,2,TRUE,Tri-Taylor,,249900,249.9,,0,,,FALSE,Fireplace (Natural Gas),Central A/C,,1,100,,200,,1.61323E+13,Other,,,0,0,0,"[{'category': 'Elementary', 'name': 'Jensen Elementary School Olastic', 'district': '299'}, {'category': 'High', 'name': 'Manley Career Academy High Schoo', 'district': '299'}, {'category': 'JuniorHigh', 'name': 'Jensen Elementary School Olastic', 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Redfin Corporation,1944,,1610,,2484655,IL,Cook County,-87.79203033,60707,3935.78,11162605,35,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.9142189,,,"2 Stories, Georgian - Chicago, IL",,,2,Garage,1855 North Normandy Avenue,,3790,https://listings.listhub.net/pages/MREDIL/11162605/?channel=mashv,2,TRUE,Galewood,,336900,209.2546584,,0,,,FALSE,Baseboard (Natural Gas),Central A/C,,1,100,,,,1.33141E+13,Georgian,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Baird & Warner - South Loop,1915,4:00 PM,1498,,2530233,IL,Cook County,-87.57382202,60617,1433.33,11183489,17,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.74462891,21-08-21,,"2 Stories - Chicago, IL",,,1,Garage,2050 East 83rd Street,2:00 PM,3341,https://listings.listhub.net/pages/MREDIL/11183489/?channel=mashv,2,TRUE,Stony Island Park,,229900,153.4712951,,0,,,FALSE,,Central A/C,,1,100,,,,2.03623E+13,Other,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,RE/MAX City,1917,,1434,,2522644,IL,Cook County,-87.78253174,60634,4111.56,11189561,13,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.95413971,,,"1.5 Story, Bungalow - Chicago, IL",,,,,6218 West Cuyler Avenue,,3528,https://listings.listhub.net/pages/MREDIL/11189561/?channel=mashv,2,TRUE,Dunning,,309900,216.1087866,,0,,,FALSE,Forced Air (Natural Gas),Central A/C,,1,100,,,,1.31731E+13,Bungalow,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
